Code,Price_CNY,Proceeds_CNY,Price_TWD,Proceeds_TWD,Price_USD,Proceeds_USD
Tier 1,6.00,4.12,33,21,0.99,0.70
Tier 2,12.00,8.23,70,45,1.99,1.40
Tier 3,18.00,12.35,100,65,2.99,2.10
Tier 4,25.00,17.15,130,84,3.99,2.80
Tier 5,30.00,20.58,170,110,4.99,3.50
Tier 6,40.00,27.44,190,123,5.99,4.20
Tier 7,45.00,30.87,230,149,6.99,4.90
Tier 8,50.00,34.30,270,175,7.99,5.60
Tier 9,60.00,41.16,290,188,8.99,6.30
Tier 10,68.00,46.65,330,213,9.99,7.00
Tier 11,73.00,50.08,370,239,10.99,7.70
Tier 12,78.00,53.51,390,252,11.99,8.40
Tier 13,88.00,60.37,430,278,12.99,9.10
Tier 14,93.00,63.80,470,304,13.99,9.80
Tier 15,98.00,67.24,490,317,14.99,10.50
Tier 16,108.00,74.10,530,343,15.99,11.20
Tier 17,113.00,77.53,570,369,16.99,11.90
Tier 18,118.00,80.96,590,382,17.99,12.60
Tier 19,123.00,84.39,630,407,18.99,13.30
Tier 20,128.00,87.82,670,433,19.99,14.00
Tier 21,138.00,94.68,690,446,20.99,14.70
Tier 22,148.00,101.54,730,472,21.99,15.40
Tier 23,153.00,104.97,770,498,22.99,16.10
Tier 24,158.00,108.40,790,511,23.99,16.80
Tier 25,163.00,111.83,830,537,24.99,17.50
Tier 26,168.00,115.26,870,563,25.99,18.20
Tier 27,178.00,122.12,890,576,26.99,18.90
Tier 28,188.00,128.98,930,601,27.99,19.60
Tier 29,193.00,132.41,970,627,28.99,20.30
Tier 30,198.00,135.84,990,640,29.99,21.00
Tier 31,208.00,142.70,1020,660,30.99,21.70
Tier 32,218.00,149.56,1050,679,31.99,22.40
Tier 33,223.00,152.99,1090,705,32.99,23.10
Tier 34,228.00,156.42,1120,724,33.99,23.80
Tier 35,233.00,159.85,1170,757,34.99,24.50
Tier 36,238.00,163.29,1190,770,35.99,25.20
Tier 37,243.00,166.72,1230,795,36.99,25.90
Tier 38,248.00,170.15,1260,815,37.99,26.60
Tier 39,253.00,173.58,1290,834,38.99,27.30
Tier 40,258.00,177.01,1320,854,39.99,28.00
Tier 41,263.00,180.44,1350,873,40.99,28.70
Tier 42,268.00,183.87,1390,899,41.99,29.40
Tier 43,273.00,187.30,1420,918,42.99,30.10
Tier 44,278.00,190.73,1470,951,43.99,30.80
Tier 45,283.00,194.16,1490,964,44.99,31.50
Tier 46,288.00,197.59,1530,989,45.99,32.20
Tier 47,298.00,204.45,1560,1009,46.99,32.90
Tier 48,308.00,211.31,1590,1028,47.99,33.60
Tier 49,318.00,218.17,1630,1054,48.99,34.30
Tier 50,328.00,225.03,1690,1093,49.99,35.00
Tier 51,348.00,238.75,1790,1158,54.99,38.50
Tier 52,388.00,266.20,1990,1287,59.99,42.00
Tier 53,418.00,286.78,2190,1416,64.99,45.50
Tier 54,448.00,307.36,2290,1481,69.99,49.00
Tier 55,488.00,334.80,2490,1610,74.99,52.50
Tier 56,518.00,355.39,2690,1740,79.99,56.00
Tier 57,548.00,375.97,2790,1804,84.99,59.50
Tier 58,588.00,403.41,2990,1934,89.99,63.00
Tier 59,618.00,423.99,3190,2063,94.99,66.50
Tier 60,648.00,444.58,3290,2128,99.99,70.00
Tier 61,698.00,478.88,3690,2386,109.99,77.00
Tier 62,798.00,547.49,3990,2580,119.99,84.00
Tier 63,818.00,561.21,4190,2710,124.99,87.50
Tier 64,848.00,581.79,4290,2774,129.99,91.00
Tier 65,898.00,616.09,4790,3098,139.99,98.00
Tier 66,998.00,684.70,4990,3227,149.99,105.00
Tier 67,1048.00,719.00,5390,3486,159.99,112.00
Tier 68,1098.00,753.31,5490,3550,169.99,119.00
Tier 69,1148.00,787.61,5690,3680,174.99,122.50
Tier 70,1198.00,821.92,5990,3874,179.99,126.00
Tier 71,1248.00,856.22,6290,4068,189.99,133.00
Tier 72,1298.00,890.52,6590,4262,199.99,140.00
Tier 73,1398.00,959.13,6890,4456,209.99,147.00
Tier 74,1448.00,993.43,7190,4650,219.99,154.00
Tier 75,1498.00,1027.74,7490,4844,229.99,161.00
Tier 76,1598.00,1096.34,7790,5038,239.99,168.00
Tier 77,1648.00,1130.65,8390,5426,249.99,175.00
Tier 78,1998.00,1370.77,9990,6460,299.99,210.00
Tier 79,2298.00,1576.60,11900,7695,349.99,245.00
Tier 80,2598.00,1782.42,12900,8342,399.99,280.00
Tier 81,2998.00,2056.85,14900,9635,449.99,315.00
Tier 82,3298.00,2262.67,16900,10929,499.99,350.00
Tier 83,3998.00,2742.92,19900,12869,599.99,420.00
Tier 84,4498.00,3085.96,22900,14809,699.99,490.00
Tier 85,4998.00,3428.99,26900,17395,799.99,560.00
Tier 86,5898.00,4046.46,29900,19335,899.99,630.00
Tier 87,6498.00,4458.10,32900,21275,999.99,700.00
Alternate Tier A,1.00,0.69,33,21,0.99,0.70
Alternate Tier B,3.00,2.06,33,21,0.99,0.70
Alternate Tier 1,8.00,5.49,33,21,0.99,0.70
Alternate Tier 2,12.00,8.23,70,45,1.99,1.40
Alternate Tier 3,18.00,12.35,100,65,2.99,2.10
Alternate Tier 4,28.00,19.21,130,84,3.99,2.80
Alternate Tier 5,30.00,20.58,170,110,4.99,3.50